,Text
0,"

(7) On specific query by the Bench about an entry of Rs. 1,31,37,500 on deposit side of Hongkong Bank account of which a photo copy is appearing at p. 40 of assessee's paper book, learned authorised representative submitted that it was related to loan from broker, Rahul & Co. on the basis of his submission a necessary mark is put by us on that photo copy."
1,"He was also asked whether Agya <span class=""hidden_text"" id=""span_5""> CRA No.326-DB of 1998 6</span> Kaur, mother-in-law of the deceased lived separately from Tarlochan Singh."
2," 
5.2 CW3 Mr Vijay Mishra , Deputy Manager, HDFC Bank, Noida, UP has deposed that complainant had a current account with HDFC Bank in the year 2004­2005."
3,"You are hereby asked not to carry out any construction work of the said building hereafter since the agreement has been terminated""."
4,The pillion rider T.V. Satyanarayana Murthy also sustained injuries.
5,", if the argument of the learned counsel for the respondents is accepted, it would mean that a person whose bail under POTA has been rejected by the Special Court will have two remedies and he can avail any one of them at his sweet will."
6,After all the steps at the stage of investigation has to be reported before the Court and the order passed thereon is obviously judicial order and this takes clear note of the agony of the learned Counsels.
7,PW--2 Chandregowda is the younger brother of bi-hglllltleceased.
8,What is the main offence in the charges involved in all these 36 cases?
9,He had prepared G.D. No. 7 on 19.8.1998 at 3.05 A.M.
10,"On the night of 28 March, 1959, Krishnamurthi Rao, according to his story, walked into the room of the petitioner, gave the bribe and made the pre-arranged signal which brought the Assistant Superintendent of Police and his companions to the room."
11,The deceased Collector also initiated a proceeding under the Crime Control Order against Tripathi and inspite of his best efforts bail was not granted to him.
12,"In this reference under Section 66 (1) of the Indian Income-tax Act, 1922, at the instance of the assessee Messrs. Dayabhai & Co. of Barwani, the question posed for our answer is: 
 ""Whether on the facts and in the circumstances of this case, the assessee is entitled to registration under Section 26-A of the Indian Income-tax Act for the assessment year 1956-57?"" 
 2."
13,"In view of these fact, it can he safely held that for the area of Jaipur City (municipal limits) there were two Special Judges on 29.4.1968, one was Sessions Judge Jaipur City, who by virtue of his Office was appointed to be Special Judge for that area by virtue of-Notified ion dated 26.2.1968."
14,"Shri Vinay Saraf, learned counsel for the appellant."
15,The other section involved in these appeals is Section 80 IB which provides for deduction in respect of profits and gains from certain industrial undertakings other than infrastructure development undertakings.
