,Text
0,"['In', 'The', 'High', 'Court', 'Of', 'Kerala', 'At', 'Ernakulam', 'Crl', 'Mc', 'No.', '1622', 'of', '2006()', '1.', 'T.R.Ajayan,', 'S/O.', 'O.Raman,', '...', 'Petitioner', 'Vs', '1.', 'M.Ravindran,', '...', 'Respondent', '2.', 'Mrs.', 'Nirmala', 'Dinesh,', 'W/O.', 'Dinesh,', 'For', 'Petitioner', ':Sri.A.Kumar', 'For', 'Respondent', ':Smt.M.K.Pushpalatha', 'The', ""Hon'ble"", 'Mr.', 'Justice', 'P.R.Raman', 'The', ""Hon'ble"", 'Mr.', 'Justice', 'V.K.Mohanan', 'Dated', ':07/01/2008', 'O', 'R', 'D', 'E', 'R']"
1,"['In', 'The', 'Court', 'Of', 'Shri', 'Lokesh', 'Kumar', 'Sharma', 'Additional', 'Sessions', 'Judge\xad04,', 'New', 'Delhi', 'District', 'Patiala', 'House', 'Courts,', 'New', 'Delhi', 'Unique', 'I', 'D', 'No.', ':', '02403R0184312013', 'Criminal', 'Revision', 'Number', ':', '57/2/14', 'dated', '07.02.2014', 'Cc', 'No.', ':', '20/1/13', 'Ps', ':', 'Chanakyapuri', 'U/s', ':', '499/500', 'Ipc', 'M/s', 'Jindal', 'Steel', '&', 'Power', 'Ltd.', 'Through', 'its', 'Director', 'Sh.', 'Rajeev', 'Bhaduria', 'Jindal', 'Centre,', '12', 'Bhikaji', 'Cama', 'Place,', 'New', 'Delhi\xad110066', '....Revisionist/Petitioner', 'versus', '1)', 'The', 'State', 'Through', 'Additional', 'Public', 'Prosecutor', '2)', 'Planman', 'Media', 'Pvt.', 'Ltd.', '(Owner', 'of', 'the', 'Sunday', 'Indian)', 'Iipm', 'Tower,', 'C\xad56/30,', 'Sector\xad62,', 'Noida\xad201301', 'Up', '3)', 'Mr.', 'Arindam', 'Chaudhuri', 'Editor', 'in', 'Chief', 'The', 'Sunday', 'Indian', 'Cr', 'No.', '57/2/14', '1/32', 'M/s', 'Jindal', 'Steel', '&', 'Power', 'Ltd', 'Vs', 'State', '&', 'Ors.', 'Iipm', 'Tower', 'C\xad56/30,', 'Sector\xad62,', 'Noida\xad201301', 'Up', '4)', 'Mr.', 'A.', 'Sandeep', 'Editor', 'The', 'Sunday', 'Indian', 'Iipm', 'Tower', 'C\xad56/30,', 'Sector\xad62,', 'Noida\xad201301', 'Up', '5)', 'Mr.', 'Ashok', 'Bose', 'Publisher', 'The', 'Sunday', 'Indian', 'Iipm', 'Tower', 'C\xad56/30,', 'Sector\xad62,', 'Noida\xad201301', 'Up', '.....', 'Respondents', 'Revision', 'received', 'by', 'Court:', '07.02.2014', 'Arguments', 'concluded', ':', '28.10.2014', 'Date', 'of', 'order', ':', '13.11.2014', ':Order']"
2,"['Before', 'The', 'Madurai', 'Bench', 'Of', 'Madras', 'High', 'Court', 'Dated:', '23/12/2011', 'Coram', 'The', 'Honourable', 'Mr.Justice', 'V.Ramasubramanian', 'Civil', 'Revision', 'Petition', '(Npd)(Md)', 'No.1123', 'of', '2006', 'And', 'M.P.No.2', 'of', '2006', '1.', 'Ayisha', 'Beevi', '2.', 'Beevija', '3.', 'Hadijath', 'Beevi', '4.', 'Yunusa', 'Begam', '5.', 'Syed', 'Ali', '6.', 'Sumaya', 'Begam', '7.', 'Mohamed', 'Yoosuf', '8.', 'Mohamed', 'Ismail', '9.', 'Razira', 'Beevi', '10.Shabi', 'Mohamed', '11.Zakir', 'Mugain', '12.Ferosh', 'Khan', '13.Augustin', '14.Dr.T.C.Joseph', '.....', 'Petitioners', 'Vs.', '1.', 'Sheik', 'Mydeen', '2.', 'A.P.Nelson', '3.', 'Chandrakala', 'Ruben', '.....', 'Respondents', '-----', 'Petition', 'under', 'Article', '227', 'of', 'the', 'Constitution', 'of', 'India', 'against', 'the', 'fair', 'and', 'decretal', 'order', 'dated', '18.10.2006', 'made', 'in', 'E.P.No.201', 'of', '2000', 'in', 'O.S.No.420', 'of', '1976', 'passed', 'by', 'the', 'Principal', 'District', 'Munsif,', 'Padmanabhapuram.', '!For', 'Petitioner', '...', 'Mr.K.N.Thampi', '^For', 'Respondent-1', '...', 'Mr.Prabhu', 'Rajadurai', 'For', 'Respondents', '2&3', '...', 'Mr.A.Arumugham', '-----', ':Order']"
3,"['Before', 'The', 'Madurai', 'Bench', 'Of', 'Madras', 'High', 'Court', 'Dated', ':', '09/09/2008', 'Coram', 'The', 'Honourable', 'Mr.Justice', 'T.Sudanthiram', 'Crl.O.P.(MD).No.3102', 'of', '2008', 'Indian', 'Overseas', 'Bank,', 'K.Abishekapuram', 'Branch,', 'Mannarpuram,', 'Tiruchirappallai', '-', '620', '020', 'rep.', 'by', 'the', 'Authorized', 'Officer', 'A.Rasheed', 'Khan', '...', 'Petitioner', 'Vs', '1.M/s.Sree', 'Aravindh', 'Steels', 'Ltd.,', 'a', 'public', 'limited', 'company', 'registered', 'under', 'the', 'Companies', 'Act,', '14-a,', 'E.V.R.', 'Road,', 'Puthur,', 'Trichirappalli', '-', '620', '017.', '2.Sri.Arun', 'Shankar,', 'Managing', 'Director,', 'M/s.Sree', 'Aravindh', 'Steels', 'Ltd.,', '14-A,', 'E.V.R.', 'Road,', 'Puthur,', 'Trichirappalli', '-', '620', '017.', '3.Sri.S.B.Shankar,', '""Pathmavilla"",', '3-B,', 'Bhulabai', 'Desai', 'Road,', 'Chookkikulam,', 'Madurai', '-', '625', '002.', '4.The', 'Inspector', 'of', 'Police,', 'Thuvakudi', 'Police', 'Station,', 'Thuvakudi,', 'Tiruchirappalli', '-', '620', '002.', '...', 'Respondents', 'Prayer', 'Petition', 'filed', 'under', 'Section', '482', 'of', 'the', 'Code', 'of', 'Criminal', 'Procedure,', 'to', 'call', 'for', 'the', 'records', 'relating', 'to', 'the', 'order', 'dated', '11.12.2007', 'made', 'in', 'Crl.M.P.No.1472', 'of', '2007', 'on', 'the', 'file', 'of', 'the', 'learned', 'Chief', 'Judicial', 'Magistrate,', 'Tiruchirappalli', 'and', 'set', 'aside', 'the', 'same', 'and', 'consequently', 'directing', 'the', 'learned', 'Chief', 'Judicial', 'Magistrate,', 'Tiruchirappalli', 'to', 'pass', 'appropriate', 'order', 'in', 'accordance', 'with', 'Section', '14', 'of', 'Sarfaesi', 'Act', 'and', 'take', 'possession', 'of', 'the', 'secured', 'assets', 'and', 'hand', 'over', 'the', 'same', 'to', 'the', 'petitioner', 'bank.', '!For', 'Petitioner', '...', 'Ms.J.Maria', 'Roselin', 'for', 'Mr.V.Sribalaji', '^For', 'Respondent', '...', 'Mr.P.Rajendran', 'No.4', 'Government', 'Advocate', '(Crl.', 'Side)', '*', '*', '*', '*', '*', ':Order']"
4,"['1', 'In', 'The', 'High', 'Court', 'Of', 'Judicature', 'At', 'Bombay,', 'Nagpur', 'Bench,', 'Nagpur.', 'Cri.', 'Appeal', 'No.418', 'Of', '2005.', '1.', 'Motiram', 'Marotrao', 'Bhongade', 'aged', 'about', '70', 'years,', 'Occupation', ':', 'Cultivator,', '2.', 'Sanjay', 'Motiram', 'Bhongade,', 'aged', 'about', '34', 'years,', 'Occupation', ':', 'Service,', '3.', 'Laxmibai', 'Motiram', 'Bhongade,', 'aged', 'about', '60', 'years,', '4.', 'Leelabai', 'w/o.', 'Bablu', '@', 'Rooprao', 'Falke,', 'aged', 'about', '34', 'years,', 'All', 'residents', 'of', 'Satrapur,', 'P.S.', 'Kanhan,', 'District', ':', 'Nagpur.', '....', 'Appellants.', '//', 'Versus', '//', 'The', 'State', 'of', 'Maharashtra,', 'Through', 'Police', 'Station,', 'Kanhan,', 'District', ':', 'Nagpur.', '....Respondent.', '--------------------------------------------------------------------------------------------------------------', 'Shri', 'Shashank', 'V.', 'Manohar,', 'Advocate', 'for', 'Appellants.', 'Mrs.', 'K.S.', 'Joshi,', 'A.P.P.', 'for', 'Respondent.', '--------------------------------------------------------------------------------------------------------------', 'Coram', ':', 'A.P.', 'Lavande', 'And', 'P.D.Kode,', 'Jj.', 'Date', 'Of', 'Reserving', 'Judgment']"
5,"['In', 'The', 'Court', 'Of', 'Ms.', 'Manu', 'Goel', 'Kharb', 'Metropolitan', 'Magistrate,', 'Dwarka', 'Courts,', 'New', 'Delhi', 'In', 'Re:', 'Case', 'No.', ':', '223/12', '(Old', 'Cc', 'no.', '2663/1', 'dated', '03.10.07)', 'U/s.', '138', 'Negotiable', 'Instrument', 'Act', '1.', 'Cc', 'No.', ':', '223/12', '2.', 'Date', 'of', 'Institution', ':', '03.10.2007', '3.', 'Name', 'of', 'the', 'complainant,', ':', 'The', 'Madhav', 'Co\xadoperative', 'parentage', 'and', 'residence', 'Urban', 'Thrift', '&', 'Credit', 'Society', 'Ltd.,', 'E\xad17,', 'East', 'Uttam', 'Nagar,', 'Near', 'Pali', 'Factory,', 'Uttam', 'Nagar,', 'New', 'Delhi\xad59', '(Through', 'Sh.', 'Satish', 'Kumar', 'Garg', 'S/o', 'Sh.', 'Ghanshyam', 'Dass', 'Gupta,', 'President/AR)', '4.', 'Name', 'of', 'accused', ':', 'Sh.', 'Alamgeer', 'his', 'parentage', 'S/o', 'Sh.', 'Rafiq', 'Ahmad', 'and', 'residence', 'R/o', 'B\xad254,', 'Jj', 'Colony,', 'Hastsal,', 'Uttam', 'Nagar,', 'New', 'Delhi\xad59', 'Case', 'No.', '223/12', 'Madhav', 'Co\xadoperative', 'Vs', 'Alamgeer', '1', 'of', '20', '5.', 'Date', 'when', 'Judgment', 'was', 'reserved', ':', '12.02.2014', '6.', 'Date', 'when', 'Judgment', 'was', 'pronounced', ':', '22.02.2014', '7.', 'Offence', 'complained', 'of', ':', 'U/s.', '138', 'Ni', 'Act', '8.', 'Plea', 'of', 'accused', ':', 'Not', 'guilty', '9.', 'Final', 'Judgment', ':', 'Convicted', '\xad', '::', 'Judgment']"
6,"['In', 'The', 'High', 'Court', 'Of', 'Kerala', 'At', 'Ernakulam', 'Crl.Rev.Pet.No.', '1015', 'of', '2004(B)', '1.', 'Moideen', 'S/O.Ahammedkutty,', '...', 'Petitioner', 'Vs', '1.', 'The', 'Sub', 'Inspector', 'Of', 'Police,', '...', 'Respondent', '2.', 'State', 'Of', 'Kerala,', 'Rep.', 'By', 'The', 'For', 'Petitioner', ':Sri.T.G.Rajendran', 'For', 'Respondent', ':Public', 'Prosecutor', 'The', ""Hon'ble"", 'Mr.', 'Justice', 'M.Sasidharan', 'Nambiar', 'Dated', ':13/08/2010', 'O', 'R', 'D', 'E', 'R', '""C.R.""', 'M.Sasidharan', 'Nambiar,', 'J.', '--------------------------', 'Crl.R.P.No.1015', 'of', '2004', '--------------------------', 'Order']"
7,"['(1)', 'In', 'The', 'Court', 'Of', 'Sh.', 'Girish', 'Kathpalia,', 'Asj\xad05,', 'South', 'East', 'District,', 'Saket,', 'New', 'Delhi', 'Sc', 'No.', '30/14', 'State', 'vs', '1.', 'Subramanyam', 'Yadav', '@', 'Rahul', 'Madrasi,', 'S/o', 'Sh.', 'S.', 'Narsingha', 'Rao,', 'R/o', 'Gali', 'No.', '8,', 'Ajanta', 'Park,', 'Khoda', 'Colony,', 'Ghaziabad,', 'Up.', '(proclaimed', 'offender)', '2.', 'Ramesh', 'Kumar', 'S/o', 'Sh.', 'Netrapal,', 'Gali', 'No.', '5,', 'Prakash', 'Nagar,', 'Khoda', 'Colony,', 'Ghaziabad,', 'Up', '&', '3.', 'Daya', 'Nand', 'S/o', 'Shri', 'Khem', 'Chand,', 'R/o', 'village', 'Rajokri', 'Pahadi,', 'New', 'Delhi', 'Fir', 'No.', '473/06', 'Ps', 'Hazrat', 'Nizamuddin', 'Offence', 'under', 'Section', '392/397/411/34', 'Ipc', 'Unique', 'Id', ':', '2403Ro493582006', 'Date', 'of', 'Committal', ':', '15.01.2007', 'First', 'Date', 'in', 'this', 'Court', ':', '22.01.2014', 'Date', 'of', 'conclusion', 'of', 'arguments:', '30.04.2014', 'Date', 'of', 'decision', ':', '05.05.2014', 'Judgment']"
8,"['1', 'In', 'The', 'Court', 'Of', 'Dr.', 'Archana', 'Sinha', 'Addl.', 'District', '&', 'Sessions', 'Judge', '(Central\xad03)', 'Tis', 'Hazari', 'Court', '/', 'Delhi', 'M.', 'No.', ':', '19/2013', 'in', 'suit', 'No.', 'No.', '1018/2008.', 'Titech', 'Engineers', 'Pvt.', 'Ltd.', '.....', 'Plaintiff/Respondent', 'Vs.', 'Tirumula', 'Tirupati', 'Devasthanams', '....Defendants/Petitioners', '12.05.2015', 'Order']"
9,"['The', 'Honble', 'Sri', 'Justice', 'U.', 'Durga', 'Prasad', 'Rao', 'M.A.C.M.A', 'No.1656', 'of', '2010', '05-11-2014', 'Bajaj', 'Allianz', 'General', 'Insurance', 'Co.', 'Ltd,', 'Rep', 'by', 'its', 'Regional', 'Manager,', 'Begumpet,', 'Hyd.....', 'Appellant', 'M.', 'Sreedevi', 'and', 'others..', 'Respondents', 'Counsel', 'for', 'Appellant', ':', 'Sri', 'T.', 'Mahender', 'Rao', 'Counsel', 'for', 'Respondent', 'Nos.1', 'to', '5:', 'Sri', 'Mohd.', 'Yousuf', 'Counsel', 'for', 'Respondent', 'No.6', ':', 'Sri', 'M.', 'Achutha', 'Reddy', '<Gist:', '>Head', 'Note:', '?', 'Cases', 'referred:', '1)', '2008', 'Acj', '2855', '2)', '2008', 'Acj', '1307', '3)', '2003(5)', 'Ald', '162', '4)', '2004', 'Acj', '1', '(Sc)', '5)', '1985', 'Acj', '1397', '(Sc)', '6)', '1995', 'Acj', '358', '(Ap)', '7)', '2009', 'Acj', '88', '(Ap)', 'Honble', 'Sri', 'Justice', 'U.', 'Durga', 'Prasad', 'Rao', 'M.A.C.M.A.No.1656', 'of', '2010', 'Judgment']"
