,overall_text,start,end,text,label
0,"

(7) On specific query by the Bench about an entry of Rs. 1,31,37,500 on deposit side of Hongkong Bank account of which a photo copy is appearing at p. 40 of assessee's paper book, learned authorised representative submitted that it was related to loan from broker, Rahul & Co. on the basis of his submission a necessary mark is put by us on that photo copy.","[90, 267]","[103, 278]","['Hongkong Bank', 'Rahul & Co.']","['ORG', 'ORG']"
1,"He was also asked whether Agya <span class=""hidden_text"" id=""span_5""> CRA No.326-DB of 1998 6</span> Kaur, mother-in-law of the deceased lived separately from Tarlochan Singh.","[26, 101, 159]","[30, 105, 174]","['Agya', 'Kaur', 'Tarlochan Singh']","['OTHER_PERSON', 'OTHER_PERSON', 'OTHER_PERSON']"
2," 
5.2 CW3 Mr Vijay Mishra , Deputy Manager, HDFC Bank, Noida, UP has deposed that complainant had a current account with HDFC Bank in the year 2004­2005.","[13, 44, 62, 121]","[25, 60, 64, 130]","['Vijay Mishra', 'HDFC Bank, Noida', 'UP', 'HDFC Bank']","['WITNESS', 'ORG', 'GPE', 'ORG']"
3,"You are hereby asked not to carry out any construction work of the said building hereafter since the agreement has been terminated"".",[],[],[],[]
4,The pillion rider T.V. Satyanarayana Murthy also sustained injuries.,[18],[43],['T.V. Satyanarayana Murthy'],['OTHER_PERSON']
5,", if the argument of the learned counsel for the respondents is accepted, it would mean that a person whose bail under POTA has been rejected by the Special Court will have two remedies and he can avail any one of them at his sweet will.",[119],[123],['POTA'],['STATUTE']
6,After all the steps at the stage of investigation has to be reported before the Court and the order passed thereon is obviously judicial order and this takes clear note of the agony of the learned Counsels.,[],[],[],[]
7,PW--2 Chandregowda is the younger brother of bi-hglllltleceased.,[6],[18],['Chandregowda'],['WITNESS']
8,What is the main offence in the charges involved in all these 36 cases?,[],[],[],[]
9,He had prepared G.D. No. 7 on 19.8.1998 at 3.05 A.M.,[30],[39],['19.8.1998'],['DATE']
10,"On the night of 28 March, 1959, Krishnamurthi Rao, according to his story, walked into the room of the petitioner, gave the bribe and made the pre-arranged signal which brought the Assistant Superintendent of Police and his companions to the room.","[16, 32]","[30, 49]","['28 March, 1959', 'Krishnamurthi Rao']","['DATE', 'OTHER_PERSON']"
11,The deceased Collector also initiated a proceeding under the Crime Control Order against Tripathi and inspite of his best efforts bail was not granted to him.,[89],[97],['Tripathi'],['OTHER_PERSON']
12,"In this reference under Section 66 (1) of the Indian Income-tax Act, 1922, at the instance of the assessee Messrs. Dayabhai & Co. of Barwani, the question posed for our answer is: 
 ""Whether on the facts and in the circumstances of this case, the assessee is entitled to registration under Section 26-A of the Indian Income-tax Act for the assessment year 1956-57?"" 
 2.","[24, 46, 115, 290, 310]","[38, 73, 140, 302, 331]","['Section 66 (1)', 'Indian Income-tax Act, 1922', 'Dayabhai & Co. of Barwani', 'Section 26-A', 'Indian Income-tax Act']","['PROVISION', 'STATUTE', 'ORG', 'PROVISION', 'STATUTE']"
13,"In view of these fact, it can he safely held that for the area of Jaipur City (municipal limits) there were two Special Judges on 29.4.1968, one was Sessions Judge Jaipur City, who by virtue of his Office was appointed to be Special Judge for that area by virtue of-Notified ion dated 26.2.1968.","[130, 149, 285]","[139, 175, 294]","['29.4.1968', 'Sessions Judge Jaipur City', '26.2.1968']","['DATE', 'COURT', 'DATE']"
14,"Shri Vinay Saraf, learned counsel for the appellant.",[5],[16],['Vinay Saraf'],['OTHER_PERSON']
15,The other section involved in these appeals is Section 80 IB which provides for deduction in respect of profits and gains from certain industrial undertakings other than infrastructure development undertakings.,[47],[57],['Section 80'],['PROVISION']
16,"It was observed that:
 ""Of late, crime against women in general and rape in particular is on the increase.",[],[],[],[]
17,"The torch was taken in possession vide memo Ex.PO which was signed by him and Nityanand, besides the police officials.",[78],[87],['Nityanand'],['OTHER_PERSON']
18,"Under Article 21, Constitution of India no person can be deprived of his life or personal liberty except according ""to procedure established bylaw"".","[6, 18]","[16, 39]","['Article 21', 'Constitution of India']","['PROVISION', 'STATUTE']"
19,"But, in spite of all, the efforts taken by the complainant accused failed to clear the outstanding or to pay the total amount of the cheque in question.",[],[],[],[]
20,"The Supreme Court, in the case of Susamma Thomas, 1994 ACJ 1 (SC), has awarded a sum of Rs. 15,000/- each on the above two heads.","[4, 34]","[17, 65]","['Supreme Court', 'Susamma Thomas, 1994 ACJ 1 (SC)']","['COURT', 'PRECEDENT']"
21,"Till this order was passed, the selections to the professional and Technical Colleges affiliated to the Mysore University were mainly made from the students who passed out of the Mysore University.","[104, 179]","[121, 196]","['Mysore University', 'Mysore University']","['ORG', 'ORG']"
22,"To that extent, the State's power to regulate as an expression of the sovereign power has its limitations.",[],[],[],[]
23,"From this, it is seen that the amounts accrued under the policy are even not only kept away from court attachments but also from any other amounts payable by the employee to the department.",[],[],[],[]
24,"After finishing the letter PW4 posted the same in the Edad Post Office in the address of PW10 , (Vijayan) the brother of the deceased.","[54, 97]","[70, 104]","['Edad Post Office', 'Vijayan']","['ORG', 'WITNESS']"
25,A contention similar to the one now raised by Mr. Dasgupta was also raised before the Supreme Court.,"[50, 86]","[58, 99]","['Dasgupta', 'Supreme Court']","['OTHER_PERSON', 'COURT']"
26,"This 2015.07.04 12:32 I attest to the accuracy and authenticity of this document Chandigarh <span class=""hidden_text"" id=""span_10""> FAO No.1042 of 2003 11</span>","[5, 81]","[15, 91]","['2015.07.04', 'Chandigarh']","['DATE', 'GPE']"
27,The Supreme Court granted special leave to appeal against P.N. Talukdar and S.M. Basu.,"[4, 58, 76]","[17, 71, 85]","['Supreme Court', 'P.N. Talukdar', 'S.M. Basu']","['COURT', 'OTHER_PERSON', 'OTHER_PERSON']"
28,For causing injury to Vinubhai Keshavlal accused No. 2 Bhikhabhai Nathabhai and accused No. 13 Mahadevbhai Magribhai and accused No. 5 Sagrambhai Nagribhai would be liable to be punished under Section 326 and rest of the respondents-accused would be liable to be punished under Section 326 read with Section 149.,"[22, 55, 95, 135, 193, 278, 300]","[40, 75, 116, 155, 204, 289, 311]","['Vinubhai Keshavlal', 'Bhikhabhai Nathabhai', 'Mahadevbhai Magribhai', 'Sagrambhai Nagribhai', 'Section 326', 'Section 326', 'Section 149']","['OTHER_PERSON', 'OTHER_PERSON', 'OTHER_PERSON', 'OTHER_PERSON', 'PROVISION', 'PROVISION', 'PROVISION']"
29,"Once it is found to be acceptable intrinsically and on broad probabilities, the criticism against the evidence of witnesses will have to be gone through realistically to ascertain whether any reasonable doubt is generated thereby.",[],[],[],[]
30,"In United India Insurance Co. Ltd. v. Rajendra Singh this Court observed that ""Fraud and justice never dwell together"" (fraus et jus nunquam cohabitant) and it is a pristine maxim which has never lost its temper over all these centuries.",[3],[52],['United India Insurance Co. Ltd. v. Rajendra Singh'],['PRECEDENT']
